BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5289092608.0,148.49085998535156,-53.69913864135742,278.4753112792969,0.5252982974052429,13.239697456359863,11.591330528259277,-19.20807647705078,14001984,1907001
1,5289092608.0,149.9003143310547,-54.34478759765625,279.52532958984375,0.5247589945793152,13.386302947998047,11.59575080871582,-22.757829666137695,14001984,1930803
2,5289092608.0,147.36439514160156,-54.51543045043945,278.4747619628906,-0.5246596932411194,13.324419975280762,11.551460266113281,-17.107860565185547,14001984,1887966
3,5289091584.0,148.784423828125,-55.17417907714844,279.5247802734375,-0.5252025723457336,13.085200309753418,12.181134223937988,9.436899185180664,14001984,3310378
4,5289091584.0,148.21710205078125,-52.222938537597656,277.4251708984375,1.5759756565093994,12.839560508728027,11.342771530151367,-19.933317184448242,14001984,3444884
5,5289091584.0,149.5741424560547,-52.872440338134766,278.4756774902344,1.575434923171997,13.124744415283203,11.524602890014648,-22.921510696411133,14001984,2784062
6,5289091584.0,150.9722137451172,-53.505489349365234,279.5260314941406,1.5748811960220337,13.300189971923828,11.588113784790039,-24.96101951599121,14001984,1899209
7,5289092608.0,152.4128875732422,-54.12139892578125,280.5765686035156,1.5743385553359985,13.442697525024414,11.591516494750977,-27.242961883544922,14001984,1902662
8,5289093120.0,151.35458374023438,-54.97346878051758,280.57550048828125,0.524205207824707,13.413802146911621,11.430075645446777,-24.54015350341797,14001984,2688431
9,5289091584.0,150.2515869140625,-55.816131591796875,280.574951171875,-0.5257487297058105,13.490549087524414,11.455277442932129,-21.746828079223633,14001984,2762401
10,5289092096.0,149.10064697265625,-56.648948669433594,280.5749206542969,-1.575875163078308,13.541792869567871,11.385429382324219,-19.546140670776367,14001984,3459045
11,5289093120.0,147.6214599609375,-55.99319839477539,279.5244140625,-1.5753371715545654,13.536163330078125,11.528390884399414,-16.866044998168945,14001984,2120059
12,5289093632.0,146.19187927246094,-55.320838928222656,278.47406005859375,-1.5747846364974976,13.137791633605957,12.101336479187012,11.83763599395752,14001984,2523170
13,5289093120.0,144.8096923828125,-54.63263702392578,277.42352294921875,-1.5742437839508057,13.017014503479004,11.98166275024414,16.68820571899414,14001984,3169777
14,5289093120.0,145.9895782470703,-53.8405876159668,277.4245910644531,-0.5241089463233948,13.196639060974121,11.547965049743652,-14.529577255249023,14001984,1880009
15,5289091584.0,147.12448120117188,-53.037200927734375,277.4251403808594,0.5258440971374512,13.12458610534668,11.5773344039917,-17.327268600463867,14001984,2112564
16,5289091584.0,147.96072387695312,-50.744651794433594,276.37286376953125,2.627183437347412,12.615585327148438,11.291850090026855,-18.254417419433594,14001984,4153200
17,5289091072.0,149.27000427246094,-51.39821243286133,277.4246520996094,2.6266326904296875,12.785663604736328,11.370983123779297,-20.69954490661621,14001984,3398301
18,5289092096.0,150.61697387695312,-52.03573226928711,278.47589111328125,2.626091957092285,13.11327838897705,11.614982604980469,-25.602949142456055,14001984,2202768
19,5289091584.0,152.00303649902344,-52.65663146972656,279.5269470214844,2.6255502700805664,13.230809211730957,11.596991539001465,-27.827730178833008,14001984,2054109
20,5289091584.0,153.4295654296875,-53.26028060913086,280.5781555175781,2.625000476837158,15.769858360290527,12.39646053314209,31.761972427368164,14001984,2730736
21,5289092608.0,154.8979034423828,-53.845970153808594,281.62994384765625,2.624457359313965,12.842897415161133,12.343988418579102,-17.12367057800293,14001984,3561691
22,5289093120.0,153.89764404296875,-54.719451904296875,281.62762451171875,1.5737934112548828,13.039165496826172,12.392718315124512,-12.691873550415039,14001984,2683237
