BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5290984448.0,198.4906463623047,-37.10948181152344,307.907470703125,25.5445613861084,12.314861297607422,11.120766639709473,51.03756332397461,15344640,3969943
1,5290984448.0,199.80723571777344,-37.10948181152344,309.0638122558594,25.431156158447266,12.085325241088867,10.882094383239746,49.60589599609375,15344640,5233984
2,5290984448.0,198.4812774658203,-38.1594123840332,307.7877197265625,24.500225067138672,12.351533889770508,11.121084213256836,49.46186828613281,15344640,3944251
3,5290984960.0,199.8166046142578,-38.1594123840332,308.9344177246094,24.38777732849121,12.296330451965332,11.17660903930664,49.49870300292969,15344640,3952471
4,5290984448.0,197.20074462890625,-36.044830322265625,306.86016845703125,26.69443130493164,12.068193435668945,10.739396095275879,53.99256134033203,15344640,6053032
5,5290984448.0,198.49952697753906,-36.05936813354492,308.02911376953125,26.58899688720703,12.252772331237793,11.124665260314941,54.05037307739258,15344640,4122497
6,5290984448.0,199.79833984375,-36.05936813354492,309.1956787109375,26.474576950073242,12.096100807189941,10.979362487792969,49.492286682128906,15344640,4597120
7,5290984448.0,201.09710693359375,-36.044830322265625,310.3600769042969,26.35120391845703,12.01533317565918,10.965680122375488,50.608604431152344,15344640,4561859
8,5290984448.0,201.12379455566406,-37.094749450683594,310.2181396484375,25.308866500854492,12.044888496398926,10.979592323303223,48.992156982421875,15344640,4597119
9,5290984448.0,201.15188598632812,-38.14447021484375,310.0791931152344,24.266517639160156,12.020770072937012,10.900928497314453,46.884098052978516,15344640,5381540
10,5290984448.0,201.18148803710938,-39.194339752197266,309.94305419921875,23.22381019592285,12.14980411529541,10.960177421569824,46.062564849853516,15344640,5409798
11,5290984960.0,199.82647705078125,-39.209510803222656,308.8073425292969,23.344100952148438,12.292936325073242,11.18343734741211,47.54185104370117,15344640,4127307
12,5290984960.0,198.47140502929688,-39.209510803222656,307.6697692871094,23.455642700195312,12.299766540527344,11.08970832824707,49.19717025756836,15344640,4534764
13,5290984448.0,197.1163787841797,-39.194339752197266,306.53009033203125,23.55841636657715,12.416214942932129,11.156944274902344,50.9468879699707,15344640,3883578
14,5290984448.0,197.14598083496094,-38.14447021484375,306.6388244628906,24.603836059570312,12.380379676818848,11.145369529724121,52.54949188232422,15344640,3922055
15,5290984448.0,197.174072265625,-37.094749450683594,306.7488098144531,25.649059295654297,12.214343070983887,10.941740036010742,53.35487365722656,15344640,4824176
16,5290984448.0,195.94424438476562,-34.96563720703125,305.79052734375,27.83761215209961,12.136141777038574,10.7068452835083,56.01896667480469,15344640,6180752
17,5290984448.0,197.22608947753906,-34.99436950683594,306.9730529785156,27.74028968811035,12.12949275970459,10.810452461242676,55.0474739074707,15344640,5358142
18,5290984448.0,198.5079803466797,-35.008731842041016,308.1528625488281,27.633865356445312,12.235156059265137,11.062823295593262,53.51791000366211,15344640,4203070
19,5290984448.0,199.78988647460938,-35.008731842041016,309.3302307128906,27.51837730407715,12.189155578613281,11.08694839477539,52.33190155029297,15344640,4129359
20,5290984448.0,201.07177734375,-34.99436950683594,310.50531005859375,27.39385223388672,12.120244979858398,11.135307312011719,52.873802185058594,15344640,4082518
21,5290984448.0,202.35360717773438,-34.96563720703125,311.6783447265625,27.26030921936035,12.023740768432617,10.88934326171875,50.27656173706055,15344640,5545194
22,5290984448.0,202.3958282470703,-36.01573944091797,311.5226135253906,26.218896865844727,12.062860488891602,11.004748344421387,49.77989959716797,15344640,4690405
23,5290984448.0,202.44024658203125,-37.065269470214844,311.3706359863281,25.177724838256836,12.125580787658691,11.183998107910156,48.09257507324219,15344640,4143296
24,5290984448.0,202.48703002929688,-38.11457061767578,311.22222900390625,24.13646697998047,12.096421241760254,11.115382194519043,46.1960334777832,15344640,4757491
25,5290984448.0,202.53631591796875,-39.16400146484375,311.0771484375,23.094778060913086,11.93303108215332,10.839960098266602,43.293514251708984,15344640,5923687
26,5290984448.0,202.58828735351562,-40.21390151977539,310.9351806640625,22.052326202392578,11.966461181640625,10.852727890014648,41.37757110595703,15344640,6047174
27,5290984960.0,201.2126922607422,-40.24473190307617,309.8095397949219,22.180391311645508,12.22560977935791,11.117036819458008,43.6288948059082,15344640,4759021
28,5290985472.0,199.83688354492188,-40.26015090942383,308.6823425292969,22.299766540527344,12.281000137329102,10.941113471984863,45.62226867675781,15344640,5490164
29,5290984960.0,198.46099853515625,-40.26015090942383,307.55340576171875,22.41045379638672,12.394165992736816,11.185285568237305,47.540313720703125,15344640,4170444
30,5290984960.0,197.08517456054688,-40.24473190307617,306.42242431640625,22.512432098388672,12.405017852783203,11.092863082885742,49.25775146484375,15344640,4664650
31,5290985984.0,195.70956420898438,-40.21390151977539,305.2891845703125,22.605661392211914,12.517573356628418,10.940328598022461,50.393104553222656,15344640,5392119
32,5290985472.0,195.76153564453125,-39.16400146484375,305.3880615234375,23.652381896972656,13.388067245483398,10.624346733093262,62.63203811645508,15344640,5351737
33,5290985984.0,195.8108367919922,-38.11457061767578,305.4875183105469,24.698591232299805,12.43693733215332,10.92965316772461,53.153587341308594,15344640,5462529
34,5290984448.0,195.85763549804688,-37.065269470214844,305.5876770019531,25.74462890625,12.423871994018555,10.949958801269531,54.50745391845703,15344640,4740487
35,5290984448.0,195.9020538330078,-36.01573944091797,305.6886291503906,26.790857315063477,12.235967636108398,10.875349998474121,54.983184814453125,15344640,5453283
