Component_ID,RA,DEC,RA_comp,DEC_comp
SB88039_component_1a,235.757028,-7.951832,235.757029,-7.951844
SB88039_component_4a,235.531079,-9.462062,235.53111,-9.462002
SB88039_component_12a,240.235346,-7.368099,240.235319,-7.368117
SB88039_component_17a,238.878162,-3.447066,238.878117,-3.447089
SB88039_component_43a,236.922044,-9.725889,236.922024,-9.725834
SB88039_component_60a,237.62441,-5.636382,237.624365,-5.636394
SB88039_component_78a,240.828238,-10.122598,240.828243,-10.122582
SB88039_component_94a,242.41152,-5.790126,242.411457,-5.79016
SB88039_component_132a,239.956918,-5.522853,239.956843,-5.522935
SB88039_component_136a,235.013055,-8.390429,235.013135,-8.390417
