Component_ID,RA,DEC,RA_comp,DEC_comp
SB88367_component_1a,179.803024,-9.68109,179.802966,-9.681125
SB88367_component_8a,178.071707,-8.684236,178.071706,-8.684254
SB88367_component_9a,180.642651,-5.467271,180.642604,-5.467359
SB88367_component_13a,172.877085,-5.005505,172.877153,-5.00546
SB88367_component_32a,173.399885,-9.089548,173.39997,-9.089834
SB88367_component_38a,178.231292,-5.330156,178.231215,-5.330148
SB88367_component_72a,173.992643,-4.47437,173.992646,-4.474413
SB88367_component_109a,174.102242,-3.508117,174.102404,-3.508194
SB88367_component_146a,178.939743,-10.297847,178.939797,-10.297846
SB88367_component_167a,176.770281,-4.595089,176.770267,-4.595059
