Component_ID,RA,DEC,RA_comp,DEC_comp
SB74820_component_3a,153.703852,8.882437,153.703794,8.882829
SB74820_component_7a,153.055871,6.5153,153.055617,6.515889
SB74820_component_19a,152.003365,6.355562,152.003401,6.355893
SB74820_component_30a,154.615947,5.508231,154.616035,5.508323
SB74820_component_31a,154.01302,5.217133,154.013069,5.217317
SB74820_component_43a,150.490565,10.263521,150.490562,10.263807
SB74820_component_63a,151.957459,7.14303,151.957566,7.143316
SB74820_component_78a,151.656942,5.164632,151.656711,5.164994
SB74820_component_80a,151.203343,7.143463,151.203411,7.143816
SB74820_component_101a,152.457469,6.366642,152.457533,6.366941
SB74820_component_329a,152.693717,8.051262,152.693711,8.051555
