BEAM_NUM,BEAM_TIME,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,VIS_TOTAL,VIS_FLAGGED
0,5287634944.0,182.57472229003906,6.81974983215332,275.38043212890625,67.4639892578125,14.709063529968262,12.110372543334961,51.46260452270508,14193792,1922276
1,5287633408.0,183.6321563720703,6.81974983215332,277.9173583984375,67.88078308105469,14.813819885253906,12.074272155761719,51.171104431152344,14193792,1938501
2,5287635456.0,182.57579040527344,5.76978874206543,276.4747619628906,66.50511169433594,14.467521667480469,12.17836856842041,56.41939926147461,14193792,1900196
3,5287633408.0,183.631103515625,5.76978874206543,278.9294128417969,66.905517578125,15.673796653747559,11.675139427185059,57.95423126220703,14193792,3325932
4,5287634432.0,181.5133514404297,7.86775016784668,271.6722717285156,67.94120025634766,14.531558990478516,11.930923461914062,48.58135223388672,14193792,3500117
5,5287634432.0,182.573486328125,7.869880676269531,274.1938781738281,68.4149169921875,14.875409126281738,11.915374755859375,48.526729583740234,14193792,2837515
6,5287633408.0,183.6334228515625,7.869880676269531,276.8174743652344,68.84950256347656,15.048437118530273,11.98218822479248,47.36463165283203,14193792,1903385
7,5287633920.0,184.6935272216797,7.86775016784668,279.5407409667969,69.2426528930664,15.17902660369873,11.923824310302734,47.28295135498047,14193792,1890825
8,5287634432.0,184.6897735595703,6.817619323730469,280.54248046875,68.25724029541016,14.74428939819336,11.93818473815918,50.55076217651367,14193792,2642387
9,5287633920.0,184.6865692138672,5.767669677734375,281.4623107910156,67.26664733886719,14.657630920410156,11.934869766235352,54.761985778808594,14193792,2778718
10,5287635456.0,184.6839141845703,4.717538833618164,282.3104553222656,66.27119445800781,14.491016387939453,11.82943058013916,60.049957275390625,14193792,3480569
11,5287633920.0,183.6302032470703,4.719661235809326,279.8640441894531,65.92420196533203,14.447336196899414,12.161978721618652,60.76359939575195,14193792,2148258
12,5287635456.0,182.57667541503906,4.719661235809326,277.4874267578125,65.53894805908203,14.331402778625488,12.224067687988281,62.752872467041016,14193792,1869552
13,5287634432.0,181.52297973632812,4.717538833618164,275.1833801269531,65.11709594726562,14.230613708496094,12.138463973999023,65.37571716308594,14193792,2555822
14,5287634944.0,181.52032470703125,5.767669677734375,274.10113525390625,66.0672836303711,14.356826782226562,12.249567031860352,57.9077262878418,14193792,1894711
15,5287634944.0,181.51712036132812,6.817619323730469,272.9342346191406,67.00890350341797,14.543183326721191,12.185554504394531,52.22197341918945,14193792,2119782
16,5287633408.0,180.445556640625,8.914119720458984,267.819091796875,68.33192443847656,14.605376243591309,11.708159446716309,45.406436920166016,14193792,4166023
17,5287634432.0,181.50904846191406,8.918399810791016,270.3033752441406,68.86321258544922,14.799302101135254,11.777606010437012,44.43742752075195,14193792,3444307
18,5287634944.0,182.57203674316406,8.920538902282715,272.9028015136719,69.35709381103516,15.192459106445312,11.96523666381836,44.73340606689453,14193792,2214981
19,5287634944.0,183.63485717773438,8.920538902282715,275.6172790527344,69.81101989746094,15.33061695098877,11.918658256530762,44.7222785949707,14193792,2083005
20,5287635456.0,184.69784545898438,8.918399810791016,278.4449462890625,70.2223892211914,15.472674369812012,11.861541748046875,44.7971305847168,14193792,2107148
21,5287635456.0,185.76133728027344,8.914119720458984,281.3818359375,70.58858489990234,15.554802894592285,11.697144508361816,45.21028137207031,14193792,2938895
22,5287633920.0,185.75416564941406,7.863480567932129,282.35955810546875,69.592041015625,15.330367088317871,11.876672744750977,47.21392822265625,14193792,1963544
23,5287633920.0,185.74790954589844,6.813369274139404,283.25164794921875,68.59130096435547,15.9871826171875,11.633760452270508,53.56584930419922,14193792,2871919
24,5287634432.0,185.74256896972656,5.763430595397949,284.0695495605469,67.586669921875,14.83243465423584,11.861297607421875,54.38735580444336,14193792,2761820
25,5287635456.0,185.73812866210938,4.7133002281188965,284.8228759765625,66.57831573486328,14.667378425598145,11.893245697021484,58.606300354003906,14193792,2680896
26,5287635456.0,185.73460388183594,3.6626501083374023,285.51971435546875,65.56636810302734,14.172707557678223,11.587199211120605,65.80903625488281,14193792,4796859
27,5287635456.0,184.68179321289062,3.6668806076049805,283.0955505371094,65.27113342285156,14.415984153747559,12.00987434387207,65.35002899169922,14193792,2742955
28,5287635456.0,183.62950134277344,3.6689999103546143,280.73028564453125,64.93718719482422,14.328092575073242,12.056902885437012,67.31230163574219,14193792,2880972
29,5287634432.0,182.577392578125,3.6689999103546143,278.4275817871094,64.56596374511719,14.307291030883789,12.234630584716797,70.06375122070312,14193792,2154816
30,5287634432.0,181.5251007080078,3.6668806076049805,276.1900329589844,64.15895080566406,14.068669319152832,12.067481994628906,73.75227355957031,14193792,3421940
31,5287632896.0,180.47230529785156,3.6626501083374023,274.0195617675781,63.7176628112793,14.039467811584473,12.046329498291016,73.83893585205078,14193792,3630420
32,5287633408.0,180.46876525878906,4.7133002281188965,272.9536437988281,64.6603012084961,15.150422096252441,11.828119277954102,66.29469299316406,14193792,3385580
33,5287633408.0,180.46432495117188,5.763430595397949,271.81005859375,65.5938491821289,14.120758056640625,12.029431343078613,59.33525848388672,14193792,3535749
34,5287633408.0,180.458984375,6.813369274139404,270.5800476074219,66.51758575439453,14.331727027893066,12.130403518676758,52.82285690307617,14193792,2811302
35,5287633408.0,180.45272827148438,7.863480567932129,269.25347900390625,67.43062591552734,14.657356262207031,12.168902397155762,48.563480377197266,14193792,2028102
