INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY
0,1,VAST_0501-43A,11389,0,11378,IMAGED,05 01 24,-43 52 21,75.35,-43.8725,248.958126801526,-37.76064480172544,-45.0,5085983873.32339,726.5894408505249,726.5894400000001,36,5088041420.029,136504607,13.395706467053833,11.092953220266132,7.8816522104008,-0.04081825539469719,11.348543167114258,237.79510498046875,221.08198448623423,260.10721460250784,41.57196044921875,13584.6865234375,5088052071.0,6362
1,2,VAST_0534-43A,11390,0,11378,IMAGED,05 34 53,-43 52 21,83.72083333333332,-43.8725,249.70815106710245,-31.760310943930605,-45.0,5085984659.63251,726.5894408505249,726.5894400000001,36,5088048706.835,136620015,13.33224953666442,11.099649679584983,-0.645504208422518,-0.08011877536773682,11.88400650024414,246.67544555664062,226.72827322028158,227.61401221445146,171.01731872558594,7256.97216796875,5088059013.0,6038
2,3,VAST_0532-50A,11391,0,11378,IMAGED,05 32 18,-50 05 45,83.07499999999999,-50.09583333333334,256.97056430788524,-32.89112994875697,-45.0,5085985535.521151,726.5894398968505,726.5894400000001,36,5088048775.976,136580162,13.963881431923129,11.0140916669928,4.38119683962779,-0.04252295568585396,1.4895099401474,230.1688690185547,215.5992490581177,70.3368365672771,162.1868896484375,832.2553100585938,5088059444.0,6321
3,3,VAST_0532-50A,11544,0,11531,IMAGED,05 32 18,-50 05 45,83.07499999999999,-50.09583333333334,256.97056430788524,-32.89112994875697,-45.0,5086586429.079934,726.5894398968505,726.5894400000001,36,5087992447.225,136333038,12.48834026041866,11.422741572281737,-14.6128130119366,-0.036184221506118774,1.4685077667236328,227.21771240234375,212.98792620623107,70.09912168382435,158.56076049804688,801.1724853515625,5088001768.0,6313
4,4,VAST_0455-50A,11392,0,11378,IMAGED,04 55 23,-50 05 45,73.84583333333333,-50.09583333333334,256.88433162678183,-38.8075084954334,-45.0,5085986431.31635,726.5894408505249,726.5894400000001,36,5088048853.589,136609950,14.153981284376892,10.90527996050946,22.0231623555649,-0.027988115325570107,3.868112564086914,226.7479705810547,213.20479149574822,72.03467443861486,159.30091857910156,941.2492065429688,5088059453.0,6643
5,4,VAST_0455-50A,11542,0,11531,IMAGED,04 55 23,-50 05 45,73.84583333333333,-50.09583333333334,256.88433162678183,-38.8075084954334,-45.0,5086584637.489534,716.636159447937,716.6361600000001,36,5087990618.7369995,136349365,12.465033722268913,11.408209573015908,-9.95193989546325,-0.018516382202506065,3.845890760421753,225.71168518066406,212.69461757843735,73.82809919114027,153.1851043701172,851.7291870117188,5087999712.0,6604
6,5,VAST_0559-56A,11393,0,11378,IMAGED,06 00 00,-56 18 23,89.99999999999999,-56.30638888888888,264.6061253750871,-29.29254627481725,-45.0,5085987337.06483,726.5894408505249,726.5894400000001,36,5088048983.7109995,136607340,14.790812815234151,10.943235498519071,4.19917245807766,-0.020349476486444473,1.3451576232910156,222.89755249023438,210.9385453375091,67.79605888587123,158.26483154296875,730.8146362304688,5088059496.0,6742
7,6,VAST_0517-56A,11394,0,11378,IMAGED,05 17 39,-56 18 23,79.4125,-56.30638888888888,264.43195492054394,-35.15834363308794,-45.0,5085988232.86003,726.5894398968505,726.5894400000001,36,5088049105.993,136578340,15.05735059366062,10.835701687177272,22.6957616026233,-0.008866715244948864,2.683199167251587,225.33116149902344,212.60335059218286,64.7421392942086,165.0001678466797,847.6575317382812,5088059546.0,6398
8,7,VAST_0547-62A,11395,0,11378,IMAGED,05 47 35,-62 29 55,86.89583333333331,-62.49861111111111,271.6778160194992,-31.16373059586087,-45.0,5085989128.65523,726.5894408505249,726.5894400000001,36,5088050627.568,136593807,16.089756189484717,10.800238518445248,16.6933026261851,-0.008460598066449165,1.695750117301941,228.99319458007812,215.36757480515868,67.26978194499907,164.62355041503906,583.1993408203125,5088061826.0,6721
9,8,VAST_0918+00A,11397,0,11378,IMAGED,09 18 37,+00 00 00,139.65416666666667,0.0,231.76405031999863,32.212291300866404,-45.0,5085997310.25139,726.5894398968505,726.5894400000001,36,5088050644.084,136593810,13.06837003708332,12.630840201858348,19.825356142646,-0.00816197507083416,1.3826637268066406,259.2511901855469,246.17901329205262,68.12457685712384,185.4410858154297,685.3209228515625,5088061641.0,5991
