sbid,field,cal_sbid
10336,VAST_0534-43A,10334
10335,VAST_2053-06A,10334
10335,VAST_2143+00A,10334
10336,VAST_2214-56A,10334
10336,VAST_0310-56A,10334
10335,VAST_2146-43A,10334
10335,VAST_2143-06A,10334
10335,VAST_2219-43A,10334
10335,VAST_2257-06A,10334
10335,VAST_2208+00A,10334
10335,VAST_2233+00A,10334
10335,VAST_2322-06A,10334
10335,VAST_2347-06A,10334
10335,VAST_1739-25A,10334
10336,VAST_0304-50A,10334
10336,VAST_0352-56A,10334
10336,VAST_0517-56A,10334
10336,VAST_0532-50A,10334
10336,VAST_0918-06A,10334
10336,VAST_0943-06A,10334
10336,VAST_1008-06A,10334
10336,VAST_1033-06A,10334
10335,VAST_1806-25A,10334
10335,VAST_1753-18A,10334
10335,VAST_2004-06A,10334
10335,VAST_2004+00A,10334
10335,VAST_2028+00A,10334
10335,VAST_2118+00A,10334
10335,VAST_2208-06A,10334
10335,VAST_2233-06A,10334
10335,VAST_2039-43A,10334
10336,VAST_0418-50A,10334
10336,VAST_0435-56A,10334
10336,VAST_0457-62A,10334
10336,VAST_0559-56A,10334
10336,VAST_0918+00A,10334
10336,VAST_0943+00A,10334
10336,VAST_1008+00A,10334
10335,VAST_2053+00A,10334
10335,VAST_2112-43A,10334
10335,VAST_2028-06A,10334
10335,VAST_2118-06A,10334
10336,VAST_2256-56A,10334
