sbid,field,cal_sbid
11107,VAST_0241-06A,11106
11116,VAST_0427-43A,11106
11117,VAST_0501-43A,11106
11118,VAST_0534-43A,11106
11119,VAST_0455-50A,11106
11120,VAST_0532-50A,11106
11121,VAST_0435-56A,11106
11122,VAST_0517-56A,11106
11123,VAST_0559-56A,11106
11124,VAST_0547-62A,11106
11125,VAST_0530-68A,11106
11108,VAST_0331+00A,11106
11127,VAST_0918+00A,11106
11128,VAST_0943+00A,11106
11129,VAST_0918-06A,11106
11130,VAST_1008+00A,11106
11131,VAST_1008-06A,11106
11132,VAST_1033+00A,11106
11133,VAST_1033-06A,11106
11134,VAST_1057+00A,11106
11135,VAST_0943-06A,11106
11136,VAST_1122+00A,11106
11109,VAST_0241+00A,11106
11137,VAST_1122-06A,11106
11138,VAST_1147+00A,11106
11139,VAST_1147-06A,11106
11140,VAST_1212+00A,11106
11141,VAST_1212-06A,11106
11142,VAST_1237+00A,11106
11143,VAST_1237-06A,11106
11144,VAST_1302+00A,11106
11145,VAST_1302-06A,11106
11146,VAST_1326+00A,11106
11110,VAST_0216+00A,11106
11147,VAST_1326-06A,11106
11148,VAST_1351+00A,11106
11149,VAST_1351-06A,11106
11150,VAST_1416+00A,11106
11151,VAST_1416-06A,11106
11152,VAST_1441+00A,11106
11153,VAST_1441-06A,11106
11155,VAST_1739-25A,11106
11156,VAST_1753-18A,11106
11157,VAST_1806-25A,11106
11111,VAST_0306+00A,11106
11158,VAST_1752-31A,11106
11160,VAST_1724-31A,11106
11162,VAST_2004+00A,11106
11163,VAST_2004-06A,11106
11164,VAST_2028+00A,11106
11165,VAST_2028-06A,11106
11166,VAST_2053+00A,11106
11167,VAST_2053-06A,11106
11168,VAST_2118+00A,11106
11169,VAST_2118-06A,11106
11112,VAST_0355+00A,11106
11170,VAST_2143+00A,11106
11171,VAST_2143-06A,11106
11172,VAST_2208+00A,11106
11173,VAST_2208-06A,11106
11174,VAST_2233+00A,11106
11175,VAST_2233-06A,11106
11176,VAST_2257+00A,11106
11177,VAST_2322+00A,11106
11178,VAST_2257-06A,11106
11179,VAST_2347+00A,11106
11113,VAST_0306-06A,11106
11180,VAST_2322-06A,11106
11181,VAST_0012+00A,11106
11182,VAST_2347-06A,11106
11183,VAST_0037+00A,11106
11184,VAST_0037-06A,11106
11185,VAST_0102+00A,11106
11186,VAST_0102-06A,11106
11187,VAST_0126+00A,11106
11188,VAST_0012-06A,11106
11189,VAST_0151+00A,11106
11114,VAST_0355-06A,11106
11190,VAST_0151-06A,11106
11191,VAST_0126-06A,11106
11192,VAST_0216-06A,11106
11193,VAST_0127-73A,11106
11115,VAST_0331-06A,11106
