sbid,field,cal_sbid
11380,VAST_0216+00A,11378
11381,VAST_0306+00A,11378
11382,VAST_0331+00A,11378
11383,VAST_0241+00A,11378
11384,VAST_0355+00A,11378
11385,VAST_0306-06A,11378
11386,VAST_0355-06A,11378
11387,VAST_0331-06A,11378
11389,VAST_0501-43A,11378
11390,VAST_0534-43A,11378
11391,VAST_0532-50A,11378
11392,VAST_0455-50A,11378
11393,VAST_0559-56A,11378
11394,VAST_0517-56A,11378
11395,VAST_0547-62A,11378
11397,VAST_0918+00A,11378
11398,VAST_0943+00A,11378
11399,VAST_0918-06A,11378
11400,VAST_1008+00A,11378
11401,VAST_1033+00A,11378
11402,VAST_1008-06A,11378
11403,VAST_1057+00A,11378
11404,VAST_1033-06A,11378
11405,VAST_1122+00A,11378
11406,VAST_1147+00A,11378
11407,VAST_1057-06A,11378
11408,VAST_1212+00A,11378
11409,VAST_1212-06A,11378
11410,VAST_1237+00A,11378
11411,VAST_1302+00A,11378
11412,VAST_1237-06A,11378
11413,VAST_1326+00A,11378
11414,VAST_1302-06A,11378
11416,VAST_1441+00A,11378
11417,VAST_1326-06A,11378
11419,VAST_1753-18A,11378
11420,VAST_1806-25A,11378
11422,VAST_1752-31A,11378
11424,VAST_2004+00A,11378
11425,VAST_2028+00A,11378
11426,VAST_2004-06A,11378
11427,VAST_2053+00A,11378
11428,VAST_2118+00A,11378
11429,VAST_2118-06A,11378
11430,VAST_2143+00A,11378
11431,VAST_2053-06A,11378
11432,VAST_2208+00A,11378
11433,VAST_2233+00A,11378
11434,VAST_2143-06A,11378
11435,VAST_2257+00A,11378
11436,VAST_2208-06A,11378
11437,VAST_2322+00A,11378
11438,VAST_2347+00A,11378
11439,VAST_2233-06A,11378
11440,VAST_0012+00A,11378
11441,VAST_2322-06A,11378
11442,VAST_0037+00A,11378
11443,VAST_0102+00A,11378
11444,VAST_0037-06A,11378
11445,VAST_0126+00A,11378
11446,VAST_0126-06A,11378
11447,VAST_0151+00A,11378
11448,VAST_0102-06A,11378
11449,VAST_0151-06A,11378
11450,VAST_0241-06A,11378
11532,VAST_0216-06A,11531
11533,VAST_0216+00A,11531
11534,VAST_0306+00A,11531
11535,VAST_0304-50A,11531
11536,VAST_0320-43A,11531
11537,VAST_0341-50A,11531
11538,VAST_0354-43A,11531
11539,VAST_0418-50A,11531
11540,VAST_0352-56A,11531
11541,VAST_0310-56A,11531
11542,VAST_0455-50A,11531
11543,VAST_0435-56A,11531
11544,VAST_0532-50A,11531
11545,VAST_0457-62A,11531
11546,VAST_0530-68A,11531
11548,VAST_0918+00A,11531
11550,VAST_0943-06A,11531
11552,VAST_1122-06A,11531
11554,VAST_1147+00A,11531
11555,VAST_1147-06A,11531
11583,VAST_1351-06A,11588
11584,VAST_1351+00A,11588
11585,VAST_1416+00A,11588
11586,VAST_1416-06A,11588
11587,VAST_1441-06A,11588
11590,VAST_2028-06A,11588
11591,VAST_2005-43A,11588
11592,VAST_2039-43A,11588
11593,VAST_2018-50A,11588
11594,VAST_2112-43A,11588
11595,VAST_2055-50A,11588
11596,VAST_2146-43A,11588
11597,VAST_2132-50A,11588
11598,VAST_2219-43A,11588
11599,VAST_2246-50A,11588
11600,VAST_2257-06A,11588
11601,VAST_2253-43A,11588
11602,VAST_2209-50A,11588
11603,VAST_2214-56A,11588
11604,VAST_2347-06A,11588
11605,VAST_0012-06A,11588
11606,VAST_2256-56A,11588
11608,VAST_0127-73A,11588
11610,VAST_0318-62A,11588
11612,VAST_0408-62A,11588
11671,VAST_0408-62A,11670
11672,VAST_0427-43A,11670
11674,VAST_1351-06A,11670
11676,VAST_1739-25A,11670
11678,VAST_1724-31A,11670
11681,VAST_2028+00A,11670
11682,VAST_2004-06A,11670
11683,VAST_2007-56A,11670
11684,VAST_2049-56A,11670
11685,VAST_2041-62A,11670
11686,VAST_2131-56A,11670
11687,VAST_2131-62A,11670
11689,VAST_2219-43A,11670
11690,VAST_2220-62A,11670
