sbid,field,cal_sbid
10888,VAST_0241-06A,10924
10897,VAST_0354-43A,10924
10898,VAST_0427-43A,10924
10899,VAST_0534-43A,10924
10900,VAST_0455-50A,10924
10901,VAST_0532-50A,10924
10902,VAST_0517-56A,10924
10903,VAST_0559-56A,10924
10904,VAST_0547-62A,10924
10905,VAST_0530-68A,10924
10907,VAST_0918+00A,10924
10889,VAST_0241+00A,10924
10908,VAST_0918-06A,10924
10909,VAST_0943+00A,10924
10910,VAST_0943-06A,10924
10911,VAST_1008+00A,10924
10912,VAST_1008-06A,10924
10913,VAST_1033+00A,10924
10914,VAST_1033-06A,10924
10915,VAST_1057+00A,10924
10916,VAST_1057-06A,10924
10917,VAST_1122+00A,10924
10890,VAST_0306+00A,10924
10918,VAST_1122-06A,10924
10919,VAST_1147+00A,10924
10920,VAST_1147-06A,10924
10922,VAST_1302-06A,10924
10923,VAST_1326+00A,10924
10891,VAST_0331+00A,10924
10892,VAST_0355+00A,10924
10893,VAST_0306-06A,10924
10894,VAST_0355-06A,10924
10895,VAST_0331-06A,10924
10896,VAST_0501-43A,10924
