sbid,field,cal_sbid
15632,VAST_2028-06A,15763
15641,VAST_0216+00A,15763
15765,VAST_2005-43A,15763
15766,VAST_2018-50A,15763
15767,VAST_2049-56A,15763
15768,VAST_2055-50A,15763
15769,VAST_2131-56A,15763
15770,VAST_2112-43A,15763
15771,VAST_2132-50A,15763
15772,VAST_2214-56A,15763
15773,VAST_2146-43A,15763
15642,VAST_0126+00A,15763
15774,VAST_2209-50A,15763
15775,VAST_2131-62A,15763
15776,VAST_2246-50A,15763
15777,VAST_2220-62A,15763
15643,VAST_0241+00A,15763
15644,VAST_0241-06A,15763
15645,VAST_0306+00A,15763
15646,VAST_0331+00A,15763
15647,VAST_0306-06A,15763
15648,VAST_0355+00A,15763
15649,VAST_0355-06A,15763
15650,VAST_0331-06A,15763
15633,VAST_2004+00A,15763
15651,VAST_0216-06A,15763
15652,VAST_0320-43A,15763
15653,VAST_0427-43A,15763
15654,VAST_0354-43A,15763
15655,VAST_0418-50A,15763
15656,VAST_0501-43A,15763
15657,VAST_0455-50A,15763
15658,VAST_0534-43A,15763
15659,VAST_0532-50A,15763
15660,VAST_0517-56A,15763
15634,VAST_2208+00A,15763
15661,VAST_0559-56A,15763
15662,VAST_0435-56A,15763
15664,VAST_0547-62A,15763
15665,VAST_0530-68A,15763
15668,VAST_0918+00A,15763
15669,VAST_0943+00A,15763
15670,VAST_0918-06A,15763
15671,VAST_1008+00A,15763
15672,VAST_0943-06A,15763
15635,VAST_2118+00A,15763
15673,VAST_1008-06A,15763
15674,VAST_1033-06A,15763
15675,VAST_1057+00A,15763
15676,VAST_1057-06A,15763
15677,VAST_1122+00A,15763
15678,VAST_1147+00A,15763
15679,VAST_1122-06A,15763
15680,VAST_1212+00A,15763
15681,VAST_1147-06A,15763
15682,VAST_1237+00A,15763
15684,VAST_1302+00A,15763
15685,VAST_1326+00A,15763
15686,VAST_1302-06A,15763
15687,VAST_1351+00A,15763
15688,VAST_1326-06A,15763
15689,VAST_1416+00A,15763
15690,VAST_1416-06A,15763
15691,VAST_1441+00A,15763
15692,VAST_1351-06A,15763
15637,VAST_0012+00A,15763
15693,VAST_1441-06A,15763
15694,VAST_1237-06A,15763
15698,VAST_1724-31A,15763
15699,VAST_1739-25A,15763
15700,VAST_1753-18A,15763
15701,VAST_1806-25A,15763
15702,VAST_1752-31A,15763
15706,VAST_2004-06A,15763
15707,VAST_2007-56A,15763
15708,VAST_2028+00A,15763
15638,VAST_0037+00A,15763
15709,VAST_2053+00A,15763
15710,VAST_2053-06A,15763
15711,VAST_2118-06A,15763
15712,VAST_2039-43A,15763
15713,VAST_2143+00A,15763
15714,VAST_2143-06A,15763
15715,VAST_2208-06A,15763
15716,VAST_2233+00A,15763
15717,VAST_2233-06A,15763
15718,VAST_2257+00A,15763
15639,VAST_0151+00A,15763
15719,VAST_2257-06A,15763
15720,VAST_2322+00A,15763
15721,VAST_2322-06A,15763
15722,VAST_2347+00A,15763
15723,VAST_2347-06A,15763
15724,VAST_0012-06A,15763
15725,VAST_0037-06A,15763
15726,VAST_2219-43A,15763
15727,VAST_0102-06A,15763
15728,VAST_2253-43A,15763
15640,VAST_0102+00A,15763
15729,VAST_0126-06A,15763
15730,VAST_2256-56A,15763
15731,VAST_0151-06A,15763
15732,VAST_0127-73A,15763
15734,VAST_0304-50A,15763
15735,VAST_0310-56A,15763
15736,VAST_0352-56A,15763
15737,VAST_0341-50A,15763
15738,VAST_0408-62A,15763
15739,VAST_0318-62A,15763
