sbid,field,cal_sbid
11451,VAST_0216-06A,11490
11452,VAST_0216+00A,11490
11453,VAST_0306+00A,11490
11454,VAST_0331+00A,11490
11455,VAST_0241+00A,11490
11456,VAST_0355+00A,11490
11457,VAST_0306-06A,11490
11458,VAST_0355-06A,11490
11459,VAST_0331-06A,11490
11461,VAST_0501-43A,11490
11462,VAST_0534-43A,11490
11463,VAST_0532-50A,11490
11464,VAST_0455-50A,11490
11465,VAST_0559-56A,11490
11466,VAST_0517-56A,11490
11467,VAST_0547-62A,11490
11469,VAST_0918+00A,11490
11470,VAST_0943+00A,11490
11471,VAST_0918-06A,11490
11472,VAST_1008+00A,11490
11473,VAST_1033+00A,11490
11474,VAST_1008-06A,11490
11475,VAST_1057+00A,11490
11476,VAST_1033-06A,11490
11477,VAST_1122+00A,11490
11478,VAST_1147+00A,11490
11479,VAST_1057-06A,11490
11480,VAST_1212+00A,11490
11481,VAST_1212-06A,11490
11482,VAST_1237+00A,11490
11483,VAST_1302+00A,11490
11484,VAST_1237-06A,11490
11485,VAST_1326+00A,11490
11486,VAST_1302-06A,11490
11488,VAST_1441+00A,11490
11489,VAST_1326-06A,11490
11491,VAST_1753-18A,11490
11492,VAST_1806-25A,11490
11494,VAST_1752-31A,11490
11499,VAST_2053+00A,11490
11500,VAST_2118+00A,11490
11501,VAST_2118-06A,11490
11502,VAST_2143+00A,11490
11503,VAST_2053-06A,11490
11504,VAST_2208+00A,11490
11505,VAST_2233+00A,11490
11506,VAST_2143-06A,11490
11507,VAST_2257+00A,11490
11508,VAST_2208-06A,11490
11509,VAST_2322+00A,11490
11510,VAST_2347+00A,11490
11511,VAST_2233-06A,11490
11512,VAST_0012+00A,11490
11513,VAST_2322-06A,11490
11514,VAST_0037+00A,11490
11515,VAST_0102+00A,11490
11516,VAST_0037-06A,11490
11517,VAST_0126+00A,11490
11518,VAST_0126-06A,11490
11519,VAST_0151+00A,11490
11520,VAST_0102-06A,11490
11521,VAST_0151-06A,11490
11522,VAST_0241-06A,11490
11556,VAST_0216-06A,11588
11557,VAST_0216+00A,11588
11558,VAST_0306+00A,11588
11559,VAST_0304-50A,11588
11560,VAST_0320-43A,11588
11561,VAST_0341-50A,11588
11562,VAST_0354-43A,11588
11563,VAST_0418-50A,11588
11564,VAST_0352-56A,11588
11565,VAST_0310-56A,11588
11566,VAST_0455-50A,11588
11567,VAST_0435-56A,11588
11568,VAST_0532-50A,11588
11569,VAST_0457-62A,11588
11570,VAST_0530-68A,11588
11572,VAST_0918+00A,11588
11574,VAST_0943-06A,11588
11576,VAST_1122-06A,11588
11578,VAST_1147+00A,11588
11579,VAST_1147-06A,11588
11614,VAST_1351-06A,11619
11615,VAST_1351+00A,11619
11616,VAST_1416+00A,11619
11617,VAST_1416-06A,11619
11618,VAST_1441-06A,11619
11621,VAST_2028-06A,11619
11622,VAST_2005-43A,11619
11623,VAST_2039-43A,11619
11624,VAST_2018-50A,11619
11625,VAST_2112-43A,11619
11626,VAST_2055-50A,11619
11627,VAST_2146-43A,11619
11628,VAST_2132-50A,11619
11629,VAST_2219-43A,11619
11630,VAST_2246-50A,11619
11631,VAST_2257-06A,11619
11632,VAST_2253-43A,11619
11633,VAST_2209-50A,11619
11634,VAST_2214-56A,11619
11635,VAST_2347-06A,11619
11636,VAST_0012-06A,11619
11637,VAST_2256-56A,11619
11639,VAST_0127-73A,11619
11641,VAST_0318-62A,11619
11643,VAST_0408-62A,11619
11693,VAST_0408-62A,11691
11694,VAST_0427-43A,11691
11696,VAST_1351-06A,11691
11698,VAST_1739-25A,11691
11700,VAST_1724-31A,11691
11702,VAST_2004+00A,11691
11703,VAST_2028+00A,11691
11704,VAST_2004-06A,11691
11705,VAST_2007-56A,11691
11706,VAST_2049-56A,11691
11707,VAST_2041-62A,11691
11708,VAST_2131-56A,11691
11709,VAST_2131-62A,11691
11711,VAST_2219-43A,11691
11712,VAST_2220-62A,11691
