sbid,field,cal_sbid
11331,VAST_0306-06A,11367
11340,VAST_0501-43A,11367
11341,VAST_0532-50A,11367
11342,VAST_0455-50A,11367
11343,VAST_0559-56A,11367
11344,VAST_0517-56A,11367
11345,VAST_0547-62A,11367
11347,VAST_0943+00A,11367
11348,VAST_0918+00A,11367
11349,VAST_1008+00A,11367
11350,VAST_0918-06A,11367
11332,VAST_0331+00A,11367
11351,VAST_1033+00A,11367
11352,VAST_1057+00A,11367
11353,VAST_1008-06A,11367
11354,VAST_1122+00A,11367
11355,VAST_1033-06A,11367
11356,VAST_1147+00A,11367
11357,VAST_1212+00A,11367
11358,VAST_1122-06A,11367
11359,VAST_1147-06A,11367
11360,VAST_1212-06A,11367
11333,VAST_0306+00A,11367
11362,VAST_1351-06A,11367
11363,VAST_1416+00A,11367
11364,VAST_1441+00A,11367
11365,VAST_1416-06A,11367
11366,VAST_1441-06A,11367
11334,VAST_0355+00A,11367
11335,VAST_0355-06A,11367
11336,VAST_0331-06A,11367
11338,VAST_0354-43A,11367
11339,VAST_0534-43A,11367
