Component_ID,RA,DEC,RA_comp,DEC_comp
SB82461_component_1a,179.802997,-9.68112,179.802966,-9.681125
SB82461_component_10a,180.642586,-5.467383,180.642604,-5.467359
SB82461_component_11a,178.071703,-8.684265,178.071706,-8.684254
SB82461_component_13a,172.877162,-5.005424,172.877153,-5.00546
SB82461_component_36a,173.992648,-4.47439,173.992646,-4.474413
SB82461_component_45c,177.232805,-4.069339,177.232853,-4.069323
SB82461_component_46a,178.231262,-5.330151,178.231215,-5.330148
SB82461_component_79a,181.069421,-7.169299,181.069436,-7.169168
SB82461_component_177a,178.939698,-10.29791,178.939797,-10.297846
SB82461_component_209a,176.770288,-4.595112,176.770267,-4.595059
