INDEX,SRC,FIELD_NAME,SBID,SCAN,CAL_SBID,STATE,RA_HMS,DEC_DMS,RA_DEG,DEC_DEG,GAL_LONG,GAL_LAT,POL_AXIS,SCAN_START,SCAN_LEN,SCAN_TINT,NBEAMS_I,MOSAIC_TIME,NPIXELS_V,PSF_MAJOR,PSF_MINOR,PSF_ANGLE,MINIMUM,MAXIMUM,MED_RMS_uJy,MODE_RMS_uJy,STD_RMS_uJy,MIN_RMS_uJy,MAX_RMS_uJy,SELAVY_TIME,NUM_SELAVY
0,84,VAST_0241-06A,11195,0,11286,IMAGED,02 41 23,-06 17 59,40.34583333333333,-6.299722222222222,179.3649414628907,-56.59441545526996,-45.0,5085458843.222399,726.5894389431762,726.5894400000001,36,5087947622.32,136613643,17.50311980640695,10.967390932571137,-71.3543281070206,-0.016449706628918648,1.6938512325286865,289.1817321777344,277.0540034915166,81.45423326372051,194.27931213378906,1229.9945068359375,5087956701.0,5297
1,85,VAST_0331+00A,11196,0,11286,IMAGED,03 31 02,+00 00 00,52.758333333333326,0.0,184.32508155784922,-43.06120591492183,-45.0,5085459619.5782385,716.636159447937,716.6361600000001,36,5087947664.32,136611872,18.808967881567117,11.199984925214771,-75.2119735596653,-0.011572993360459805,2.5585060119628906,333.9342041015625,319.63730674725315,91.81772231689034,215.01524353027344,1126.040771484375,5087956664.0,4854
2,86,VAST_0241+00A,11197,0,11286,IMAGED,02 41 23,+00 00 00,40.34583333333333,0.0,171.69910054508293,-52.141321561673365,-45.0,5085460435.747198,726.5894398968505,726.5894400000001,36,5087947702.342,136634273,19.85182560760871,11.22373567698991,-74.3880041018818,-0.03539939969778061,4.770579814910889,327.5959777832031,309.48557585005216,103.5861905767734,213.365234375,1526.2781982421875,5087956685.0,4761
3,87,VAST_0216+00A,11198,0,11286,IMAGED,02 16 33,+00 00 00,34.137499999999996,0.0,163.43155547577857,-56.02874621564675,-45.0,5085461202.149758,726.5894398968505,726.5894400000001,36,5087947746.9470005,136579942,21.98430103360626,11.101088830582981,-78.2131074583291,-0.016362212598323822,3.3859455585479736,353.3811950683594,342.67832293802076,88.62496000306156,221.94834899902344,1283.79443359375,5087956662.0,4842
4,88,VAST_0306+00A,11199,0,11286,IMAGED,03 06 12,+00 00 00,46.55,0.0,178.5612040139545,-47.774956090895046,-45.0,5085462028.271998,726.5894398968505,726.5894400000001,36,5087947785.484,136612354,19.915313137997654,11.235183060160944,-74.3321161897443,-0.015122093260288239,1.909473180770874,290.5303039550781,273.74641326257455,90.3789070722116,194.74136352539062,889.736572265625,5087956699.0,5073
5,89,VAST_0355+00A,11200,0,11286,IMAGED,03 55 52,+00 00 00,58.96666666666666,0.0,189.2452074764945,-38.10021940902833,-45.0,5085462794.674558,726.5894408505249,726.5894400000001,36,5087947823.266999,136631987,19.049786896086577,11.125944638257895,-73.9463101870782,-0.022992830723524094,2.4258391857147217,311.82122802734375,299.90327274564646,87.57308395171013,199.50531005859375,1101.189697265625,5087956718.0,5017
6,90,VAST_0306-06A,11201,0,11286,IMAGED,03 06 12,-06 17 59,46.55,-6.299722222222222,186.0541578500902,-51.82013854429893,-45.0,5085463571.030398,726.5894398968505,726.5894400000001,36,5087947863.915,136626405,18.48232855271106,11.06369112372617,-70.9552908548856,-0.01035322155803442,0.9285339713096619,271.2419738769531,258.496994921793,75.79785164683348,184.8110809326172,687.245361328125,5087956776.0,5487
7,91,VAST_0355-06A,11202,0,11286,IMAGED,03 55 52,-06 17 59,58.96666666666666,-6.299722222222222,196.10904240738196,-41.55569485564667,-45.0,5085464337.432958,726.5894408505249,726.5894400000001,36,5087947899.573,136603375,17.630527894900993,10.98491768415144,-70.6696378303226,-0.010078265331685543,4.182754039764404,290.5531921386719,278.5535971008971,77.14581685637083,188.946533203125,850.362060546875,5087956773.0,5235
8,92,VAST_0331-06A,11203,0,11286,IMAGED,03 31 02,-06 17 59,52.758333333333326,-6.299722222222222,191.51689344475847,-46.776779381912455,-45.0,5085465113.788798,716.636159447937,716.6361600000001,36,5087947941.915,136629499,18.510525207257402,11.067137278717032,-70.9987168210006,-0.010854305699467659,2.5242321491241455,288.7431335449219,276.60265896375773,73.61094720887442,200.27191162109375,837.7592163085938,5087956799.0,5301
9,93,VAST_0427-43A,11204,0,11286,IMAGED,04 27 54,-43 52 21,66.975,-43.8725,248.91854498051705,-43.795388529299466,-45.0,5085466238.509438,736.5427212994384,736.5427200000001,36,5087948007.792999,136629516,15.991294503095316,11.6434092744162,-57.9689777694113,-0.011621614918112755,5.237162113189697,265.1016540527344,251.9024503872304,84.8906274880296,173.32371520996094,1416.641357421875,5087956972.0,5722
