Component_ID,RA,DEC,ASKAP_flux,ASKAP_flux_SNR,RA_comp,DEC_comp,Comp_flux,Flux_Ratio_AlphaCorr,Flux_Ratio_NOAlphaCorr
SB81844_component_5a,21.852518,-36.306228,753.4660034179688,2041.913330078125,21.852624999999996,-36.30636111111111,514.7,1.016580451714068,1.4638935368524746
SB81844_component_17a,25.876544,-35.065061,445.885986328125,1447.6817626953125,25.876416666666664,-35.06488888888889,254.3,1.2176142549499147,1.7533857110818913
SB81844_component_24a,21.635708,-35.898484,372.0159912109375,1291.7222900390625,21.635749999999998,-35.89841666666666,249.5,1.03543614064146,1.4910460569576653
SB81844_component_25a,23.621393,-34.907191,349.7340087890625,1398.93603515625,23.621208333333332,-34.907083333333325,243.3,0.9982240243896267,1.437459962141646
SB81844_component_26a,19.114097,-36.493438,335.364013671875,1095.9608154296875,19.11408333333333,-36.49361111111111,205.9,1.1310775251279692,1.628771314579286
SB81844_component_31a,26.651259,-35.450516,275.3869934082031,814.75439453125,26.651291666666662,-35.450805555555554,186.3,1.0265091632878685,1.4781910542576657
SB81844_component_32a,28.239911,-39.747711,274.14801025390625,198.8020477294922,28.23970833333333,-39.747638888888886,192.9,0.9869272293802961,1.421192380787487
SB81844_component_34a,23.899136,-38.906851,261.8659973144531,1190.300048828125,23.89908333333333,-38.906749999999995,176.0,1.03323403376342,1.487874984741211
SB81844_component_35a,21.928779,-40.279498,257.864990234375,987.9884643554688,21.929166666666664,-40.27930555555555,181.5,0.9866156824918075,1.4207437478477962
SB81844_component_45a,21.568255,-36.804536,226.7270050048828,1044.824951171875,21.56833333333333,-36.804583333333326,145.6,1.0813695519863908,1.5571909684401293
SB81844_component_46a,20.695142,-33.951939,221.9530029296875,384.667236328125,20.69520833333333,-33.952,135.1,1.1408746676882418,1.6428793703159696
SB81844_component_49a,23.217414,-35.287469,204.093994140625,923.5022583007812,23.217541666666662,-35.28719444444444,138.9,1.020376011567163,1.4693592090757739
SB81844_component_52a,24.878809,-36.191276,185.7830047607422,833.1076049804688,24.87908333333333,-36.191333333333326,123.4,1.045497704947701,1.5055348846089318
SB81844_component_57a,22.068475,-36.529136,187.59800720214844,906.2705688476562,22.06858333333333,-36.52947222222222,121.7,1.0704586682381623,1.5414791060160102
SB81844_component_60a,22.387217,-38.909542,177.78199768066406,880.10888671875,22.387291666666663,-38.90941666666666,107.4,1.1495179609223882,1.6553258629484549
SB81844_component_62a,23.907268,-36.736506,182.3000030517578,840.0922241210938,23.907291666666662,-36.73661111111111,99.6,1.2710411127156598,1.830321315780701
SB81844_component_66a,27.215156,-38.657433,164.92799377441406,473.9310302734375,27.21533333333333,-38.656888888888886,113.2,1.011766300776179,1.4569610757457072
SB81844_component_68a,25.00393,-34.873893,162.21600341796875,654.0968017578125,25.004041666666662,-34.873999999999995,161.8,0.696221516472867,1.0025710965263828
SB81844_component_69a,26.031017,-36.137538,163.98199462890625,738.6576538085938,26.030916666666663,-36.13758333333333,97.8,1.1643661486077972,1.6767075115430088
SB81844_component_70a,21.700769,-38.038076,158.46099853515625,847.385009765625,21.700874999999996,-38.03822222222222,92.2,1.1935035855796157,1.7186659277131915
SB81844_component_72a,22.630188,-34.011606,156.2689971923828,372.95703125,22.630249999999997,-34.01130555555555,98.4,1.1028335958012643,1.58809956496324
